"id" "name" "latitude" "longitude" "cluster"
"97" 99 " 'Lincoln Park / 13th & East Capitol St NE '" 38.890461 -76.988355 7
"98" 100 " 'Branch & Pennsylvania Ave SE'" 38.8692 -76.9599 1
"99" 101 " '13th & D St NE'" 38.894832 -76.987633 7
"100" 102 " 'New Hampshire Ave & T St NW'" 38.91554 -77.03818 6
"101" 103 " 'Metro Center / 12th & G St NW'" 38.898364 -77.027869 6
"102" 104 " '14th & D St NW / Ronald Reagan Building'" 38.894514 -77.031617 6
"103" 105 " '7th & F St NW / National Portrait Gallery'" 38.897324 -77.022322 6
"104" 106 " '17th & K St NW / Farragut Square'" 38.902061 -77.038322 6
"105" 107 " '20th & O St NW / Dupont South'" 38.908905 -77.04478 6
"106" 108 " '4th & D St NW / Judiciary Square'" 38.895344 -77.016106 6
"107" 109 " '19th St & Constitution Ave NW'" 38.8923 -77.0436 6
"108" 110 " '37th & O St NW / Georgetown University'" 38.90774 -77.071652 4
"109" 111 " '11th & H St NE'" 38.899983 -76.991383 7
"110" 112 " '25th St & Pennsylvania Ave NW'" 38.903827 -77.053485 6
"111" 113 " 'Columbus Circle / Union Station'" 38.89696 -77.00493 7
"112" 114 " 'North Capitol St & F St NW'" 38.897446 -77.009888 7
"113" 115 " '11th & M St NW'" 38.905607 -77.027137 6
"114" 116 " '36th & Calvert St NW / Glover Park'" 38.922581 -77.070334 4
"115" 117 " '14th & G St NW'" 38.898069 -77.031823 6
"116" 118 " 'Potomac Ave & 35th St S'" 38.844015 -77.050537 3
"117" 124 " 'Ohio Dr & West Basin Dr SW / MLK & FDR Memorials'" 38.88412 -77.04657 6
"118" 125 " '11th & F St NW'" 38.897857 -77.026975 6
"119" 126 " '23rd & E St NW '" 38.896104 -77.049882 6
"120" 127 " 'Lynn & 19th St North'" 38.897315 -77.070993 4
"121" 128 " 'Rosslyn Metro / Wilson Blvd & Ft Myer Dr'" 38.8946 -77.072305 4
"122" 129 " 'Clarendon Blvd & Pierce St'" 38.893648 -77.076701 4
"123" 130 " 'Court House Metro / Wilson Blvd & N Uhle St'" 38.891696 -77.0846 4
"124" 131 " 'N Rhodes & 16th St N'" 38.892164 -77.079375 4
"125" 132 " 'Fairfax Village'" 38.86559 -76.952103 1
"126" 133 " '21st St & Constitution Ave NW'" 38.892459 -77.046567 6
"127" 134 " 'Wilson Blvd & N Edgewood St'" 38.889 -77.0925 5
